CHR	CHR_NUM
NC_053451.1	1
NW_024403813.1	2
NC_053453.1	3
NW_024403819.1	4
NC_053450.1	5
NW_024403809.1	6
NW_024403810.1	7
NW_024403811.1	8
NW_024403812.1	9
NC_053452.1	10
NW_024403814.1	11
NW_024403815.1	12
NW_024403816.1	13
NW_024403817.1	14
NW_024403818.1	15
NC_053454.1	16
NW_024403820.1	17
NW_024403821.1	18
NW_024403822.1	19
NW_024403823.1	20
NC_053470.1	21
NW_024403828.1	22
NC_053455.1	23
NW_024403824.1	24
NC_053457.1	25
NC_053456.1	26
NC_053458.1	27
NC_053459.1	28
NC_053462.1	29
NW_024403826.1	30
NC_053460.1	31
NW_024403825.1	32
NC_053461.1	33
NC_053463.1	34
NC_053464.1	35
NW_024403827.1	36
NC_053466.1	37
NC_053469.1	38
NC_053467.1	39
NC_053468.1	40
NC_053465.1	41
NC_053471.1	42
NW_024403829.1	43
NC_053477.1	44
NC_053474.1	45
NC_053472.1	46
NC_053478.1	47
NW_024403832.1	48
NW_024403833.1	49
NC_053473.1	50
NC_053476.1	51
NW_024403830.1	52
NW_024403831.1	53
NC_053475.1	54
NC_053479.1	55
NW_024403834.1	56
NC_053480.1	57
NC_053481.1	58
NC_053482.1	59
NW_024403835.1	60
NC_053483.1	61
NC_053484.1	62
NC_053485.1	63
NC_053486.1	64
NC_053488.1	65
NW_024403838.1	66
NC_053487.1	67
NW_024403836.1	68
NW_024403837.1	69
