indv,pop,lat,long,loc,hi_kitlg,hi_plxnc1,hi_spef2_prlr,hi_slc45a2,hi_bnc2,hi_gnaq,hi_ror2,hi_apc_camk4,hi_ice1_lncrna,hi_pde1c
HRVN96101,rustica,53.689314,77.655893,karasuk,0,0,0.00000001,0,0.00000001,0,0,0.00000001,0,0
HRVN96107,rustica,53.689435,77.654108,karasuk,0.0044523,0,0.00000001,0,0.00000001,0,0,0.00000001,0,0.557422
HRVN96108,rustica,53.689435,77.654108,karasuk,0,0.1406891,0.00000001,0,0.00000001,0,0,0.01545461,0,0
HRVN96103,rustica,53.689814,77.655419,karasuk,0,0.0955343,0.00000001,0,0.00000001,0,0,0.00000001,0,0
HRVN96104,rustica,53.689814,77.655419,karasuk,0,0,0.00000001,0,0.00000001,0,0,0.00000001,0.3724791,0.2975306
HRVN96105,rustica,53.689814,77.655419,karasuk,0,0,0.00000001,0,0.00000001,0,0,0.00824617,0,0
HRVN96106,rustica,53.689814,77.655419,karasuk,0,0.0154027,0.00000001,0,0.02664408,0,0,0.00000001,1,0.8359969
HRVN96300,rustica,53.69006,77.655314,karasuk,0,0,0.00000001,0,0.00000001,0,0,0.00000001,0,0.9731853
HRVN96102,rustica,53.69006,77.655314,karasuk,0,0,0.00000001,0.0771537,0.03247861,0.0162103,0,0.00000001,0,0
HRVN96298,rustica,53.690245,77.65515,karasuk,0,0,0.00000001,0,0.00000001,0,0,0.00353581,0.0415278,0.1708615
HRVN96110,rustica,55.031644,82.936521,novosibirsk,0,0,0.00000001,0,0.00000001,0,0,0.00000001,0.4427027,0.3544013
HRVN96113,rustica,55.898742,86.955345,krasnoyarsk,0,0,0.00000001,0,0.00000001,0,0,0.00000001,0,0
HRVN96116,rustica,55.898742,86.955345,krasnoyarsk,0,0.0319754,0.00000001,0,0.01640208,0.0790622,0,0.00000001,0,0
HRVN96117,rustica,55.898742,86.955345,krasnoyarsk,0.0039403,0,0.00000001,0,0.00000001,0,0,0.00000001,0,0.0766607
HRVN96118,rustica,55.898742,86.955345,krasnoyarsk,0,0,0.13916484,0,0.00000001,0,0,0.00000001,0,0
HRVN96128,rustica,56.357935,92.867796,krasnoyarsk2,0,0.1480412,0.00000001,0,0.00000001,0,0,0.00000001,0,0.6096632
HRVN96126,rustica,56.357935,92.867796,krasnoyarsk2,0,0,0.00000001,0,0.00000001,0.4135748,0,0.00000001,0.0972848,0.0763385
HRVN96124,rustica,56.357935,92.867796,krasnoyarsk2,0.0289601,0.0976451,0.00000001,0,0.00000001,0,0,0.00000001,0,0
HRVN96123,rustica,56.357935,92.867796,krasnoyarsk2,0,0,0.11156696,0.3219627,0.00000001,0,0,0.00000001,1,0.4559818
HRVN96122,rustica,56.357935,92.867796,krasnoyarsk2,0.0866388,0,0.00000001,0,0.00000001,0,0,0.00000001,0,0
HR100,rustica,53.690245,77.65515,karasuk,0,0.0033315,0.00000001,0.0115419,0.00000001,0,0,0.00000001,0.0597696,0
HR113,rustica,55.898742,86.955345,krasnoyarsk,0,0.1585226,0.00000001,0,0.00000001,0,0,0.00000001,0.3210923,0.1923151
HR130,rustica,56.357935,92.867796,krasnoyarsk2,0.5996744,0.3460329,0.00000001,0,0.00000001,0.3533189,0,0.00000001,0,0
HR131,rustica,56.357935,92.867796,krasnoyarsk2,0,0,0.00000001,0,0.00000001,1,0,0.00000001,0,0
HR1646,rustica,43.817486,87.627925,urumqi,0.0593805,0.3290725,0.00000001,0,0.00583735,0,0,0.00000001,0.1240766,0
HR1648,rustica,43.817486,87.627925,urumqi,0,0,0.00000001,0,0.03705934,0,0,0.00000001,0,0
HR3,rustica,56.809699,37.825493,moscow,0,0,0.00000001,0,0.00000001,0,0,0.00000001,0.0091294,0
HR15,rustica,56.724034,37.772083,moscow,0,0,0.00000001,0.0383306,0.00000001,0,0,0.00000001,0,0
HR27,rustica,56.731765,37.74458,moscow,0,0.0077767,0.00000001,0,0.00000001,0,0,0.00000001,0,0
HR43,rustica,57.558842,62.662777,yekaterinburg,0,0,0.00000001,0,0.00000001,0,0,0.00000001,0.5618815,0.8726946
HR48,rustica,57.558842,62.662777,yekaterinburg,0,0,0.00000001,0,0.00006164,0.0432366,0,0.00000001,0,0
HR1748,hybrid,37.888956,102.626964,wuwei,1,1,0.5259116,0.6415895,0.6944717,1,0.9894506,1,0.1826777,0.2506312
HR1755,hybrid,37.888956,102.626964,wuwei,1,1,1,0.5983773,1,1,1,1,1,0.7633692
HR1743,hybrid,37.888956,102.626964,wuwei,0.667261,0.3962759,1,1,0.259007,1,1,1,0.1025421,1
HR1762,hybrid,37.888956,102.626964,wuwei,1,0.9846473,0.0237047,0.6585577,0.5645895,0.5777732,0.8270788,0.7701949,0,0.6160416
HR1756,hybrid,37.888956,102.626964,wuwei,0.5603064,0.1869417,1,0.9706336,0,0,0,0,0,0.2437927
HR2017,hybrid,36.23854397,103.423734,Lanzhou,1,0.1332926,1,0.964244,0.9928174,0.9259273,1,0.9915284,0.2751697,1
HR2030,hybrid,36.239585,103.432121,Lanzhou,0.9831372,0.9932551,0.8803031,0.9648548,0.5698008,1,0.587884,0.5018776,1,0.0550539
