indv	pop	lat	long	loc
HRVN96101	rustica	53.689314	77.655893	karasuk
HRVN96107	rustica	53.689435	77.654108	karasuk
HRVN96108	rustica	53.689435	77.654108	karasuk
HRVN96103	rustica	53.689814	77.655419	karasuk
HRVN96104	rustica	53.689814	77.655419	karasuk
HRVN96105	rustica	53.689814	77.655419	karasuk
HRVN96106	rustica	53.689814	77.655419	karasuk
HRVN96300	rustica	53.69006	77.655314	karasuk
HRVN96102	rustica	53.69006	77.655314	karasuk
HRVN96298	rustica	53.690245	77.65515	karasuk
HRVN96110	rustica	55.031644	82.936521	novosibirsk
HRVN96113	rustica	55.898742	86.955345	krasnoyarsk
HRVN96116	rustica	55.898742	86.955345	krasnoyarsk
HRVN96117	rustica	55.898742	86.955345	krasnoyarsk
HRVN96118	rustica	55.898742	86.955345	krasnoyarsk
HRVN96128	rustica	56.357935	92.867796	krasnoyarsk2
HRVN96126	rustica	56.357935	92.867796	krasnoyarsk2
HRVN96124	rustica	56.357935	92.867796	krasnoyarsk2
HRVN96123	rustica	56.357935	92.867796	krasnoyarsk2
HRVN96122	rustica	56.357935	92.867796	krasnoyarsk2
HR100	rustica	53.690245	77.65515	karasuk
HR113	rustica	55.898742	86.955345	krasnoyarsk
HR130	rustica	56.357935	92.867796	krasnoyarsk2
HR131	rustica	56.357935	92.867796	krasnoyarsk2
HR1646	rustica	43.817486	87.627925	urumqi
HR1648	rustica	43.817486	87.627925	urumqi
HR3	rustica	56.809699	37.825493	moscow
HR15	rustica	56.724034	37.772083	moscow
HR27	rustica	56.731765	37.74458	moscow
HR43	rustica	57.558842	62.662777	yekaterinburg
HR48	rustica	57.558842	62.662777	yekaterinburg
HR1748	hybrid	37.888956	102.626964	wuwei
HR1755	hybrid	37.888956	102.626964	wuwei
HR1743	hybrid	37.888956	102.626964	wuwei
HR1762	hybrid	37.888956	102.626964	wuwei
HR1756	hybrid	37.888956	102.626964	wuwei
HR2017	hybrid	36.23854397	103.423734	Lanzhou
HR2030	hybrid	36.239585	103.432121	Lanzhou
HR2031	hybrid	36.24002304	103.432349	Lanzhou
HR2019	hybrid	36.23339002	103.426215	Lanzhou
HR2029	hybrid	36.24183697	103.430736	Lanzhou
HR2033	hybrid	36.23654002	103.433204	Lanzhou
HR2081	hybrid	36.23931401	103.432544	Lanzhou
HR2082	hybrid	36.23965097	103.431947	Lanzhou
HR2086	hybrid	36.23594298	103.433309	Lanzhou
HR2087	hybrid	36.23594298	103.433309	Lanzhou
HR2099	hybrid	36.24233502	103.430637	Lanzhou
