indv,pop,lat,long,loc,hi_kitlg,hi_plxnc1,hi_spef2_prlr,hi_slc45a2,hi_tyrp1,hi_bnc2,hi_gnaq,hi_ror2,hi_apc_camk4,hi_ice1_lncrna,hi_pde1c
HRVN96101,rustica,53.689314,77.655893,karasuk,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0
HRVN96107,rustica,53.689435,77.654108,karasuk,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0.2399382
HRVN96108,rustica,53.689435,77.654108,karasuk,0,0.2202486,0,0,0.00000001,0.00000001,0,0,0.03887352,0,0
HRVN96103,rustica,53.689814,77.655419,karasuk,0,0.0620794,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0.0005753
HRVN96104,rustica,53.689814,77.655419,karasuk,0,0,0,0.0266977,0.00000001,0.00000001,0,0,0.00000001,0.6554659,0.4226198
HRVN96105,rustica,53.689814,77.655419,karasuk,0,0,0,0,0.00000001,0.00000001,0,0,0.02762898,0,0
HRVN96106,rustica,53.689814,77.655419,karasuk,0,0,0,0,0.00000001,0.01376744,0,0,0.00000001,1,0.9813979
HRVN96300,rustica,53.69006,77.655314,karasuk,0,0,0,0.2238412,0.00000001,0.00000001,0,0,0.00000001,0.8266934,0.9836568
HRVN96102,rustica,53.69006,77.655314,karasuk,0,0,0,0,0.00000001,0.02243829,0.0575247,0,0.00000001,0,0
HRVN96298,rustica,53.690245,77.65515,karasuk,0,0,0,0,0.00000001,0.00000001,0,0,0.01916176,0.6495571,0.0803934
HRVN96110,rustica,55.031644,82.936521,novosibirsk,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0.0165577,0
HRVN96113,rustica,55.898742,86.955345,krasnoyarsk,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0
HRVN96116,rustica,55.898742,86.955345,krasnoyarsk,0,0.0457673,0,0,0.01649884,0.01220941,0.0551926,0,0.00710579,0,0
HRVN96117,rustica,55.898742,86.955345,krasnoyarsk,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0.0670545
HRVN96118,rustica,55.898742,86.955345,krasnoyarsk,0,0,0.9300466,0,0.00000001,0.00000001,0,0,0.00000001,0,0
HRVN96128,rustica,56.357935,92.867796,krasnoyarsk2,0,0.1632613,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0.2791918
HRVN96126,rustica,56.357935,92.867796,krasnoyarsk2,0,0,0,0.0101164,0.00000001,0.0292759,0.4273034,0,0.00000001,0.401461,0.3264004
HRVN96124,rustica,56.357935,92.867796,krasnoyarsk2,0.0610316,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0
HRVN96123,rustica,56.357935,92.867796,krasnoyarsk2,0,0,0.5240467,0.3172525,0.00000001,0.00000001,0,0,0.00000001,1,0.7894644
HRVN96122,rustica,56.357935,92.867796,krasnoyarsk2,0.0519475,0,0.0901313,0,0.00000001,0.00000001,0,0,0.00000001,0,0
HR100,rustica,53.690245,77.65515,karasuk,0,0.0181973,0,0.0002804,0.00000001,0.00000001,0,0,0.00000001,0,0
HR113,rustica,55.898742,86.955345,krasnoyarsk,0,0.159906,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0.1653999
HR130,rustica,56.357935,92.867796,krasnoyarsk2,0.7497981,0.5940181,0,0.0301222,0.00000001,0.00000001,0.332617,0,0.00000001,0,0
HR131,rustica,56.357935,92.867796,krasnoyarsk2,0,0,0,0,0.00000001,0.00000001,1,0,0.00000001,0,0
HR1646,rustica,43.817486,87.627925,urumqi,0.0685126,0.1910292,0,0,0.00000001,0.00048659,0,0,0.00000001,0,0
HR1648,rustica,43.817486,87.627925,urumqi,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0
HR3,rustica,56.809699,37.825493,moscow,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0.6340364,0
HR15,rustica,56.724034,37.772083,moscow,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0.0010817,0
HR27,rustica,56.731765,37.74458,moscow,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0,0.0327693
HR43,rustica,57.558842,62.662777,yekaterinburg,0,0,0,0,0.00000001,0.00000001,0,0,0.00000001,0.4760572,0.9410351
HR48,rustica,57.558842,62.662777,yekaterinburg,0,0,0,0,0.00000001,0.00000001,0.0206978,0,0.00000001,0,0.1341357
HRVN96023,hybrid,54.994239,98.829056,mara,0.1866651,0.7502416,1,1,0.8938589,0.9899905,1,1,1,0.6166304,0
