indv	pop	lat	long	loc
HRVN96101	rustica	53.689314	77.655893	karasuk
HRVN96107	rustica	53.689435	77.654108	karasuk
HRVN96108	rustica	53.689435	77.654108	karasuk
HRVN96103	rustica	53.689814	77.655419	karasuk
HRVN96104	rustica	53.689814	77.655419	karasuk
HRVN96105	rustica	53.689814	77.655419	karasuk
HRVN96106	rustica	53.689814	77.655419	karasuk
HRVN96300	rustica	53.69006	77.655314	karasuk
HRVN96102	rustica	53.69006	77.655314	karasuk
HRVN96298	rustica	53.690245	77.65515	karasuk
HRVN96110	rustica	55.031644	82.936521	novosibirsk
HRVN96113	rustica	55.898742	86.955345	krasnoyarsk
HRVN96116	rustica	55.898742	86.955345	krasnoyarsk
HRVN96117	rustica	55.898742	86.955345	krasnoyarsk
HRVN96118	rustica	55.898742	86.955345	krasnoyarsk
HRVN96128	rustica	56.357935	92.867796	krasnoyarsk2
HRVN96126	rustica	56.357935	92.867796	krasnoyarsk2
HRVN96124	rustica	56.357935	92.867796	krasnoyarsk2
HRVN96123	rustica	56.357935	92.867796	krasnoyarsk2
HRVN96122	rustica	56.357935	92.867796	krasnoyarsk2
HR100	rustica	53.690245	77.65515	karasuk
HR113	rustica	55.898742	86.955345	krasnoyarsk
HR130	rustica	56.357935	92.867796	krasnoyarsk2
HR131	rustica	56.357935	92.867796	krasnoyarsk2
HR1646	rustica	43.817486	87.627925	urumqi
HR1648	rustica	43.817486	87.627925	urumqi
HR3	rustica	56.809699	37.825493	moscow
HR15	rustica	56.724034	37.772083	moscow
HR27	rustica	56.731765	37.74458	moscow
HR43	rustica	57.558842	62.662777	yekaterinburg
HR48	rustica	57.558842	62.662777	yekaterinburg
HRVN96023	hybrid	54.994239	98.829056	mara
HRVN96095	hybrid	54.67273	100.094238	umigan
HRVN96034	hybrid	55.07777	98.857033	uk
HRVN96026	hybrid	55.001791	98.848447	mara
HRVN96091	hybrid	54.665729	100.082558	umigan
HRVN96037	hybrid	55.07703	98.869179	uk
HRVN96194	hybrid	55.37385	98.652222	zamzor
HRVN96043	hybrid	55.064091	98.850441	uk
HRVN96011	hybrid	55.00048	98.848568	kamenka
HRVN96180	hybrid	55.37385	98.652222	zamzor
HRVN96035	hybrid	55.07777	98.857033	uk
HRVN96200	hybrid	55.00048	98.848568	kamenka
HRVN96078	hybrid	54.798431	99.440598	hingui
HRVN96144	hybrid	55.604921	98.58792	alzamay
HRVN96145	hybrid	55.603571	98.59323	alzamay
HRVN96198	hybrid	55.00048	98.848568	kamenka
HRVN96076	hybrid	54.798431	99.440598	hingui
