indv,pop,lat,long,loc,hi_kitlg,hi_plxnc1,hi_spef2_prlr,hi_slc45a2,hi_bnc2,hi_gnaq,hi_ror2,hi_apc_camk4,hi_ice1_lncrna,hi_pde1c
HRNB030,tytleri,52.021259,106.590942,zakaltoose,0,0,0,0.4708936,0,0,0,0,0,0
HRNB022,tytleri,52.021259,106.590942,zakaltoose,0,0,0.272877,0.0937431,0.0141978,0,0,0,0,1
HRNB031,tytleri,52.021259,106.590942,zakaltoose,0,0,0.3725088,0,0.022746,0,0,0,0,0.2387012
HRNB027,tytleri,52.021259,106.590942,zakaltoose,0.2811199,0.0989439,0,0,0,0.527675,0.0588182,0,0,1
HRNB028,tytleri,52.021259,106.590942,zakaltoose,0,0,0.0032628,0,0,0,0,0,0,0.1720778
HRNB040,tytleri,52.021259,106.590942,zakaltoose,0,0.170758,0,0,0,0,0,0,0.0052702,0.0362302
HRNB033,tytleri,52.021259,106.590942,zakaltoose,0,0.2717642,0,0,0,0,0.5144165,0,0,0
HRNB019,tytleri,52.021259,106.590942,zakaltoose,0,0,0,0,0,0,0,0,0,0.48844
HRNB038,tytleri,52.021259,106.590942,zakaltoose,0,0.0375676,0,0.4029189,0,0.9802792,0,0,0,0
HRNB029,tytleri,52.021259,106.590942,zakaltoose,0,0,0.3864826,1,0,0,0.1989272,0.3291065,0,0
HRNB041,tytleri,52.021259,106.590942,zakaltoose,0,0.7438306,0,0,0,0,0,0,0,0.5144031
HR302,tytleri,53.39529,102.857567,malamolevo,0,0,0,0,0,0,0,0,0,0.3929141
HR303,tytleri,53.389091,102.871307,malamolevo,0.3380422,0,0,0.6968392,0,0,0,0,0,0
HR307,tytleri,53.402512,102.774933,kytyleek,0,0,0,0.131239,0,0,0,0,0,0.751207
HR309,tytleri,53.402512,102.774933,kytyleek,0,0.123878,0,0.1036326,0,0,0,0,0,0
HR316,tytleri,52.021259,106.590942,zakaltoose,0,0,0,0,0,0,0,0,0,0
HR318,tytleri,52.021259,106.590942,zakaltoose,0,0.1987565,0,0,0,0,0,0,1,0.0850573
HR319,tytleri,52.021259,106.590942,zakaltoose,0.4233618,0,0,0,0,0,0.2559836,0.6345535,0,0.1639978
HR324,tytleri,52.021259,106.590942,zakaltoose,0,0.4274641,0,0,0.1172098,0,0,0,1,0.160116
HR326,tytleri,52.021259,106.590942,zakaltoose,0,0.0199336,0,0.2138367,0.6644352,0.2840515,0.4252208,0.4057269,0.384253,0
HR327,tytleri,52.021259,106.590942,zakaltoose,0,0,0,0,0,0.5717726,0,0.0838748,0,0
HR347,hybrid,51.06395,111.791206,nikolaevska,0.4381762,0,0,0.6024566,0.2275529,1,1,1,0.6042961,1
HR358,hybrid,51.607941,112.940552,tataurova,1,1,1,0.9588342,1,1,1,1,0.7989132,1
HR361,hybrid,51.607601,112.936623,tataurova,0.2281795,0.2780424,0.0491814,0.2932238,0.1008301,0.3468374,0.314242,0.4677409,0.2098492,0
HR364,hybrid,51.937939,114.972817,narin_talacha,0.0306206,0,0,0.8421306,0,0.4252001,0,0,0.5080292,0
HR379,hybrid,51.937939,114.972817,narin_talacha,0.2662954,0,0.0073034,0,0,0.6779268,0.0599613,0.002399,0,1
HR382,hybrid,51.937939,114.972817,narin_talacha,0.140272,0.5685747,0.1808551,1,1,0.9144787,0.3802928,1,0.0585137,0.7275957
HR432,hybrid,50.479759,113.455177,mixed_barns,0.0037774,0.3196826,0,0.2115345,0.0594714,0.1386314,1,1,0.4941311,0.8492754
HR450,hybrid,50.460209,113.447884,mixed_barns,0.1135009,0,0.622717,0,0,0.2877129,0,0,0,0
HR1319,hybrid,47.866496,105.211692,lun_bridge,0.0074758,0,0.1744205,0.3175183,0.0090658,0.7883786,0.032217,0.1598135,0.4717786,0
HR1324,hybrid,47.866496,105.211692,lun_bridge,0.0489672,0.9991752,0,0,0.0479239,0.9608968,0.5194061,0.3974247,0.4160986,1
HR1330,hybrid,47.83285,104.03992,dashinchilin,0,0,0,0.1174446,0.017314,0.6656453,0.3937474,0.4256612,0,1
HR1331,hybrid,47.83285,104.03992,dashinchilin,0.0539658,0.2582001,0.2285918,0,0.1998564,1,0.5314097,0.4293321,0,0
HR1332,hybrid,47.83285,104.03992,dashinchilin,0.2041539,0.2976824,0.1983073,0.7331074,0,0,1,1,0,0.190809
HR1341,hybrid,47.7509,102.772322,ugii_lake,0,0.0149027,0,0,0,0,0.2193656,0.4024774,0.2488185,1
HR1343,hybrid,47.7509,102.77232,ugii_lake,0.0359761,0,0.0151323,0.1701318,0,0,0,0,0,1
HR1350,hybrid,47.19171,102.8562,kharkhonh,0.0161987,0.2875794,0.0514965,0,0,0,1,1,0,0
HR1361,hybrid,47.69396,108.469467,cincer_mandel_som,0.4736922,0.0223212,0.1990301,0.6647615,1,0.025469,0.028897,0,0,0.1151956
HR1362,hybrid,47.69396,108.469467,cincer_mandel_som,0.0108709,0.2417943,0.3902852,0.7372071,0.7392193,0.3313746,0,0,0.5679305,0
HR1379,hybrid,48.000609,113.936327,bulgan_soum_dornod,0.2219119,0.8182803,0,0,0.8808773,0.1526051,0,0,0,0
HR1392,hybrid,48.000609,113.936327,bulgan_soum_dornod,0.9646839,0.2530188,0.9656132,0,1,1,1,1,0,0.0260888
HR1410,hybrid,49.423216,113.92297,dashbalbar,0.3571393,0,0,0.0684654,0,0,0.0658078,0.1106952,0,1
HR1411,hybrid,49.42322,113.923,dashbalbar,0.2141834,0,0.1225173,0.6738202,0,0,0.4198564,0.4816396,0,0
HR1424,hybrid,49.122033,112.677635,bayan_uul,0.0617906,0.2256276,0,0.1672608,0.0420853,0.4970703,0,0,0.6109653,0.5956543
HR1425,hybrid,49.122033,112.677635,bayan_uul,0,0.6220944,0.7095935,0.0729918,0.8203632,0.3698286,0,0.9318341,1,0.3870193
HR1433,hybrid,48.652359,113.164636,norovlin,0.0370377,0.3597187,0.1795556,0,0.2653038,0.3537184,0,0,0,0.6029793
HR1457,hybrid,47.331896,110.686229,chingis,1,0.3852142,0,0.0938951,0.0292881,0,0.3638779,0.4126468,0,0
HR1470,hybrid,47.65935,109.132628,tsenhermandal,0.037257,0.8937489,1,1,0.1064953,0,0,0,1,0.2752367
HR1471,hybrid,47.716288,107.802514,erdene,0.012622,1,0.0142933,0,0.0689737,0.0154315,0,0,0,0
HR1512,hybrid,47.698163,106.953536,zuunmod,0.0863606,0.6282337,0.0225551,0.2028024,0.4768198,0,0.3889682,0.1368899,0,0.3177436
HR1086,gutturalis,34.345668,108.804166,xian,1,0.5800716,1,1,0.7765499,0.819761,0.9502782,1,0,1
HR1097,gutturalis,34.345878,108.8061,xian,1,1,1,0.4448165,1,1,1,1,0,0.5369631
HR1102,gutturalis,34.34551,108.80328,xian,1,0.6936162,1,1,0.7358766,0.9858723,1,1,0,0.4219635
HR1094,gutturalis,34.345602,108.804064,xian,1,0.8281362,1,1,1,1,1,1,0,1
HR1099,gutturalis,34.34585,108.806332,xian,1,1,1,0.3833282,0.8423871,0.8826961,1,1,1,1
HR1093,gutturalis,34.345602,108.804064,xian,1,1,1,1,1,1,1,1,1,0.8771143
HR1103,gutturalis,34.34575,108.804787,xian,0.6489599,1,1,0.8296722,1,1,1,1,1,1
HR1105,gutturalis,34.345581,108.803438,xian,1,1,1,1,1,1,1,1,0.9116077,0.7114619
HR1098,gutturalis,34.345831,108.806155,xian,0.9026229,1,0.2204126,0.7615025,1,1,1,1,1,1
HR1100,gutturalis,34.34585,108.806332,xian,0.6842545,1,1,1,1,0.4062021,1,1,1,1
HR1089,gutturalis,34.345502,108.803216,xian,1,1,1,1,1,1,1,1,0,1
HR1104,gutturalis,34.345581,108.803438,xian,1,0.8461378,1,1,1,1,1,1,0,1
HR1091,gutturalis,34.345586,108.804045,xian,1,0.8890503,1,0.3673365,1,1,1,1,1,1
HR1095,gutturalis,34.345479,108.803325,xian,1,0.2086714,1,0.9433811,1,1,1,1,1,1
