	A	B	C	D	E	F	G	H	I	J
A	0.212	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	0.054	0.069	NA	NA	NA	NA	NA	NA	NA	NA
C	0.055	0.047	0.255	NA	NA	NA	NA	NA	NA	NA
D	0.059	0.030	0.064	0.181	NA	NA	NA	NA	NA	NA
E	0.041	0.043	0.072	0.065	0.141	NA	NA	NA	NA	NA
F	0.086	0.051	0.104	0.068	0.080	0.199	NA	NA	NA	NA
G	0.078	0.041	0.075	0.086	0.091	0.110	0.258	NA	NA	NA
H	0.080	0.049	0.107	0.069	0.095	0.111	0.087	0.328	NA	NA
I	0.021	0.029	0.023	0.034	0.033	0.024	0.027	0.028	0.150	NA
J	0.023	0.031	0.033	0.023	0.038	0.031	0.034	0.041	0.061	0.142
