	A	B	C	D	E	F	G	H	I	J
A	0.337	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	0.072	0.131	NA	NA	NA	NA	NA	NA	NA	NA
C	0.060	0.034	0.164	NA	NA	NA	NA	NA	NA	NA
D	0.107	0.032	0.112	0.244	NA	NA	NA	NA	NA	NA
E	0.058	0.044	0.069	0.087	0.109	NA	NA	NA	NA	NA
F	0.062	0.039	0.092	0.091	0.077	0.104	NA	NA	NA	NA
G	0.041	0.043	0.059	0.048	0.088	0.072	0.279	NA	NA	NA
H	0.048	0.034	0.053	0.038	0.057	0.054	0.050	0.495	NA	NA
I	0.064	0.054	0.046	0.042	0.050	0.042	0.044	0.044	0.544	NA
J	0.036	0.035	0.034	0.032	0.031	0.033	0.023	0.055	0.045	0.179
