	A	B	C	D	E	F	G	H	I	J
A	0.175	NA	NA	NA	NA	NA	NA	NA	NA	NA
B	0.038	0.080	NA	NA	NA	NA	NA	NA	NA	NA
C	0.034	0.040	0.262	NA	NA	NA	NA	NA	NA	NA
D	0.030	0.032	0.126	0.181	NA	NA	NA	NA	NA	NA
E	0.037	0.032	0.054	0.042	0.092	NA	NA	NA	NA	NA
F	0.039	0.030	0.038	0.043	0.044	0.124	NA	NA	NA	NA
G	0.028	0.034	0.039	0.034	0.044	0.039	0.214	NA	NA	NA
H	0.095	0.033	0.074	0.054	0.083	0.089	0.097	0.443	NA	NA
I	0.036	0.040	0.224	0.106	0.021	0.038	0.017	0.040	0.398	NA
J	0.025	0.031	0.045	0.045	0.030	0.023	0.022	0.029	0.072	0.088
