sample	pop	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32
HR2171-28186	erythrogaster	-0.051557727	0.129908058	-0.031175682	-0.023636837	0.087180598	-0.013647554	0.013069989	-0.101730418	-0.105441288	0.06945286	0.081213203	-0.077859337	0.039262455	0.03027026	-0.080196516	0.023983379	-0.018678869	0.015315821	0.004759123	-0.005713494	0.003112451	0.00389026	-0.012376752	0.033380534	0.000522164	-0.012316413	-0.000127165	0.019380316	-0.003892963	0.022221667	0.031302763	-0.003116057
HR2171-28193	erythrogaster	-0.0493881	0.124702932	-0.068960027	0.62778672	-0.066729038	0.046890402	-0.033734816	-0.009052996	-0.040131494	0.040437488	0.002018868	-0.001194821	0.067251704	-0.058328405	-0.030645576	0.034405798	-0.000853383	-0.056415986	0.06666961	-0.020800386	0.022829424	0.025029206	-0.048035019	0.029192553	0.002759383	0.002807801	-0.003877345	-0.024542752	0.011660775	-0.032029135	-0.000207999	-0.017849015
HR2600_27714	erythrogaster	-0.042230217	0.12061346	-0.024902739	-0.053316083	0.101076641	-0.014858421	0.007282641	-0.118603333	-0.096436476	0.086893173	0.065930995	-0.060749844	0.064816073	-0.03309261	-0.098971251	0.009064561	-0.002090393	-0.026973056	0.039073687	0.006077471	-0.010654569	-0.006747231	-0.011663024	0.004557744	0.006805707	-0.01977822	0.002500323	0.010053719	-0.002137135	-0.012482375	0.014901099	-0.00328562
HR3121-88807	erythrogaster	-0.048482115	0.119186303	-0.038171475	-0.026097447	0.10695171	-0.049845511	0.032334101	-0.126371337	-0.072549185	0.065722335	0.060637192	-0.07250469	0.016113786	-0.011287531	-0.054466309	0.003958045	-0.009356173	0.025799405	-0.012600298	0.008729802	-0.005972264	0.017349618	-0.008565069	0.020524372	-0.008013344	-0.015924775	0.009094158	0.013350745	0.001569709	0.019584564	0.022680746	-0.013824128
HRUWBM87932	erythrogaster	-0.048187419	0.117010751	-0.061777515	0.621068245	-0.058412455	0.025229238	-0.032411636	-0.042503617	0.004226082	0.012133691	-0.015042696	0.001744946	0.01939253	-0.093565086	-0.035271915	-0.010527401	0.002634335	-0.014818431	0.014980203	-0.004346235	-0.002691262	-0.004730441	0.013052525	0.005895728	0.002004588	0.019054427	0.005096596	-0.009566367	-0.007806576	-0.005774252	-0.012394595	0.012440827
HRUAMX2344	erythrogaster	-0.042802514	0.11282097	-0.032350376	-0.034504431	0.101387087	-0.054315312	0.016866896	-0.116920437	-0.055318835	0.063716427	0.038553857	-0.062255563	0.018096414	-0.028756713	-0.047201571	-0.010566964	-0.001183289	0.000215351	-0.005778568	-0.007099517	0.001035362	0.009571378	-0.005285534	0.010918966	0.012434119	-0.017880272	-0.001095077	-0.011131944	0.01211123	0.0324116	0.006784724	0.00305658
HR2640_97135	erythrogaster	-0.040658966	0.112341849	-0.025274228	-0.051435321	0.095140661	-0.005310674	0.004676128	-0.137780593	-0.122159833	0.092480391	0.089080767	-0.091752302	0.075011115	-0.030631635	-0.141730056	0.010329463	-0.005826614	-0.0342904	-0.002299877	-4.51E-05	-0.0184764	-0.004764817	-0.004950223	0.038198376	0.03956616	0.026388977	0.04228693	0.015653021	-0.021298076	-0.048776225	0.046466331	-0.033595993
HR2640_97129	erythrogaster	-0.039046951	0.111593355	-0.028135811	-0.051183356	0.113399669	-0.044077089	0.012235447	-0.139395249	-0.060395403	0.069841271	0.042101875	-0.062084299	0.028463863	-0.055438511	-0.045230333	-0.018936725	0.00874573	-0.034071283	0.000255454	0.008616029	-0.011392573	0.00311984	0.003959651	-0.007868986	0.008184093	-0.008404333	0.00348535	-0.011486116	0.005505465	-0.008472898	0.010668203	-0.015731113
HR2640_97014	erythrogaster	-0.037274913	0.110963959	-0.026733818	-0.051393709	0.092008122	-0.003797509	-0.001458632	-0.133025155	-0.113906255	0.101495605	0.075256774	-0.081391648	0.068318852	-0.034174074	-0.137583363	0.014258139	0.031179048	-0.021222022	0.02620131	0.014569811	-0.016497462	-0.008373737	-0.022137461	0.061560158	0.002185433	-0.004116463	-0.002163931	-0.021504293	0.017337003	-0.034872749	0.024761981	0.038068183
HR2600_54936	erythrogaster	-0.033060787	0.105239226	-0.024695148	-0.062727698	0.081710825	-0.003578292	0.006341081	-0.134896007	-0.111384088	0.091702182	0.071174553	-0.070891574	0.070986514	-0.042408385	-0.124851796	0.009145609	0.003992973	-0.009045517	-0.012753715	-0.000389046	0.001938644	-0.011211977	0.019260653	-0.009328247	0.017215405	0.007367669	-0.002696445	0.042612636	-0.024559911	-0.036761072	0.00424859	0.013779092
