NC_053452.1:65471474-65502287	locus1
NC_053452.1:25679540-25702260	locus2
NC_053450.1:131578515-131588401	locus3
NC_053452.1:52600590-52622389	locus4
NC_053451.1:68149010-68165850	locus5
NC_053459.1:15788414-15800877	locus6
NC_053453.1:13258427-13281207	locus7
NC_053451.1:51130185-51151141	locus8
NC_053464.1:10659607-10678676	locus9
NC_053457.1:31122176-31132907	locus10
NC_053463.1:9630509-9645316	locus11
NC_053458.1:2382689-2392860	locus12
NC_053456.1:8423450-8437691	locus13
NC_053456.1:611743-628465	locus14
NC_053451.1:15155754-15169047	locus15
NC_053463.1:17169354-17181146	locus16
NC_053456.1:17956628-17977625	locus17
NC_053488.1:35395959-35463779	locus18
NC_053466.1:10293314-10307651	locus19
NC_053454.1:7607724-7616758	locus20
NC_053450.1:95236503-95274228	locus21
NC_053456.1:3794188-3812925	locus22
NC_053450.1:29225114-29237910	locus23
NC_053450.1:73026954-73047825	locus24
NC_053452.1:56601330-56627375	locus25
NC_053464.1:15184130-15198310	locus26
NC_053453.1:67928081-67939152	locus27
NC_053450.1:54984222-55006092	locus28
NC_053452.1:33573376-33589016	locus29
NC_053451.1:57545282-57565689	locus30
NC_053464.1:2757438-2774036	locus31
NC_053469.1:5261233-5273332	locus32
NC_053466.1:1581626-1592264	locus33
NC_053452.1:74167070-74193598	locus34
NC_053452.1:51191785-51202427	locus35
NC_053450.1:75448886-75463503	locus36
NC_053458.1:641497-656866	locus37
NC_053460.1:10721248-10745351	locus38
NC_053460.1:4121471-4131049	locus39
NC_053450.1:151903612-151913123	locus40
NC_053451.1:91542942-91581788	locus41
NC_053472.1:4045731-4056902	locus42
NC_053450.1:57369430-57392040	locus43
NC_053450.1:33142166-33157348	locus44
NC_053454.1:52350842-52366660	locus45
NC_053462.1:9888380-9903436	locus46
NC_053451.1:95222690-95248879	locus47
NC_053457.1:3972841-3985541	locus48
NC_053454.1:39107564-39122955	locus49
NC_053459.1:15289280-15313396	locus50
NC_053467.1:9132202-9157958	locus51
NC_053453.1:26646268-26677442	locus52
NC_053450.1:114623432-114640632	locus53
NC_053474.1:1419188-1428282	locus54
NC_053457.1:19715321-19724113	locus55
NC_053452.1:28757817-28784279	locus56
NC_053456.1:2272015-2281920	locus57
NC_053477.1:1985390-1994487	locus58
NC_053472.1:6646222-6656066	locus59
NC_053452.1:75123518-75133331	locus60
NC_053456.1:7872490-7886326	locus61
NC_053455.1:10568065-10578740	locus62
NC_053457.1:35230507-35241616	locus63
NC_053453.1:60677783-60698434	locus64
NC_053462.1:9098375-9113137	locus65
NC_053452.1:34807874-34821181	locus66
NC_053460.1:19232814-19241329	locus67
NC_053455.1:4412412-4428951	locus68
NC_053457.1:33308899-33321791	locus69
NC_053453.1:67937619-67946925	locus70
NC_053450.1:120680925-120698974	locus71
NC_053456.1:29134731-29149629	locus72
NC_053451.1:47086407-47096858	locus73
NC_053453.1:12642197-12653664	locus74
NC_053464.1:10380326-10391524	locus75
NC_053453.1:30094503-30111775	locus76
NC_053475.1:251814-275102	locus77
NC_053469.1:9540492-9549036	locus78
NC_053452.1:63711287-63756822	locus79
NC_053456.1:29511685-29525615	locus80
NC_053458.1:10172609-10183859	locus81
NC_053451.1:114697870-114708084	locus82
NC_053456.1:29442742-29452677	locus83
NC_053460.1:16822756-16825428	locus84
NC_053451.1:45821956-45844023	locus85
NC_053475.1:4432651-4459539	locus86
NC_053455.1:8770347-8784492	locus87
NC_053458.1:7105763-7128521	locus88
NC_053450.1:125877237-125899824	locus89
NC_053473.1:1155107-1167046	locus90
NC_053450.1:79035616-79070198	locus91
NC_053453.1:33603925-33631453	locus92
NC_053451.1:105279200-105295707	locus93
NC_053450.1:74681892-74718161	locus94
NC_053450.1:89884072-89906891	locus95
NC_053465.1:11670755-11679629	locus96
NC_053450.1:56578018-56600837	locus97
NC_053469.1:3904352-3916108	locus98
NC_053451.1:86902135-86912445	locus99
NC_053451.1:40845753-40863471	locus100
NC_053459.1:2303933-2317036	locus101
NC_053459.1:21211917-21220649	locus102
NC_053462.1:18665869-18684460	locus103
NC_053463.1:5562659-5574851	locus104
NC_053453.1:70248689-70261340	locus105
NC_053459.1:4952470-4986318	locus106
NC_053454.1:42955968-42968047	locus107
NC_053457.1:25647907-25658575	locus108
NC_053452.1:5746376-5755437	locus109
NC_053452.1:69973498-69983885	locus110
NC_053450.1:85549671-85574281	locus111
NC_053455.1:24128546-24160412	locus112
NC_053465.1:11198155-11216191	locus113
NC_053458.1:17879327-17902314	locus114
NC_053452.1:42292050-42308944	locus115
NC_053451.1:90755428-90766086	locus116
NC_053468.1:190528-213854	locus117
NC_053457.1:17487975-17499236	locus118
NC_053451.1:32471917-32492860	locus119
NC_053458.1:24489788-24501487	locus120
NC_053460.1:14447429-14465599	locus121
NC_053450.1:66388418-66398733	locus122
NC_053458.1:16442481-16451244	locus123
NC_053457.1:15443064-15452219	locus124
NC_053453.1:25125433-25146429	locus125
NC_053455.1:23210542-23235874	locus126
NC_053453.1:25270799-25312100	locus127
NC_053457.1:8105837-8117712	locus128
NC_053458.1:1433111-1445405	locus129
NC_053457.1:18984242-18992907	locus130
NC_053471.1:5762842-5771698	locus131
NC_053457.1:14404060-14419897	locus132
NC_053450.1:55319594-55376972	locus133
NC_053458.1:19624323-19640858	locus134
NC_053455.1:8663906-8678213	locus135
NC_053452.1:9943586-9970139	locus136
NC_053466.1:3693693-3701637	locus137
NC_053464.1:13110231-13133427	locus138
NC_053453.1:3021511-3026866	locus139
NC_053458.1:5686823-5693443	locus140
NC_053456.1:11464757-11475609	locus141
NC_053460.1:12573082-12587904	locus142
NC_053452.1:5489919-5500447	locus143
NC_053459.1:1610872-1620733	locus144
NC_053451.1:16899449-16915114	locus145
NC_053454.1:47736916-47752020	locus146
NC_053453.1:8441996-8484170	locus147
NC_053451.1:93992305-94007534	locus148
NC_053453.1:35132111-35147562	locus149
NC_053451.1:88640428-88650811	locus150
NC_053451.1:114270405-114288215	locus151
NC_053472.1:2259590-2270424	locus152
NC_053451.1:22200536-22211415	locus153
NC_053451.1:39249506-39262629	locus154
NC_053464.1:8988976-9003707	locus155
NC_053451.1:104276804-104299370	locus156
NC_053456.1:31905365-31916295	locus157
NC_053454.1:49423752-49441837	locus158
NC_053452.1:28447582-28460141	locus159
NC_053455.1:8927155-8945917	locus160
NC_053469.1:7884029-7932371	locus161
NC_053461.1:9677584-9695928	locus162
NC_053451.1:104531167-104545558	locus163
