NC_007897.1	MT
NC_044998.1	Chr1
NC_044999.1	Chr1A
NC_045000.1	Chr2
NC_045001.1	Chr3
NC_045002.1	Chr4
NC_045003.1	Chr4A
NC_045004.1	Chr5
NC_045005.1	Chr6
NC_045006.1	Chr7
NC_045007.1	Chr8
NC_045008.1	Chr9
NC_045009.1	Chr10
NC_045010.1	Chr11
NC_045011.1	Chr12
NC_045012.1	Chr13
NC_045013.1	Chr14
NC_045014.1	Chr15
NC_045015.1	Chr17
NC_045016.1	Chr18
NC_045017.1	Chr19
NC_045018.1	Chr20
NC_045019.1	Chr21
NC_045020.1	Chr22
NC_045021.1	Chr23
NC_045022.1	Chr24
NC_045023.1	Chr25
NC_045024.1	Chr26
NC_045025.1	Chr27
NC_045026.1	Chr28
NC_045027.1	ChrZ
NC_045028.1	ChrW
NC_045955.1	Chr29
