NC_053457.1:12165285-12182065	locus1
NC_053456.1:10299674-10316149	locus2
NC_053453.1:13385905-13398828	locus3
NC_053452.1:64688789-64705922	locus4
NC_053457.1:5324610-5331710	locus5
NC_053488.1:51271458-51473193	locus6
NC_053460.1:14968804-15004692	locus7
NC_053464.1:6192851-6211680	locus8
NC_053451.1:53356195-53369252	locus9
NC_053450.1:48429631-48445335	locus10
NC_053451.1:53005863-53021471	locus11
NC_053454.1:69770525-69797466	locus12
NC_053474.1:699188-710511	locus13
NC_053453.1:64325208-64337860	locus14
NC_053455.1:27315130-27341250	locus15
NC_053460.1:7175222-7187027	locus16
NC_053450.1:2165023-2193022	locus17
NC_053451.1:117991611-118004638	locus18
NC_053453.1:16563319-16625360	locus19
NC_053453.1:46076008-46116022	locus20
NC_053456.1:16149663-16164053	locus21
NC_053454.1:6066893-6088563	locus22
NC_053488.1:66102554-66335155	locus23
NC_053453.1:63786989-63794672	locus24
NC_053469.1:7250892-7259400	locus25
NC_053450.1:74758674-74788534	locus26
NC_053452.1:42997793-43007594	locus27
NC_053465.1:10643712-10654181	locus28
NC_053470.1:5036989-5044963	locus29
NC_053459.1:16921776-16934905	locus30
NC_053462.1:16998657-17016845	locus31
NC_053458.1:3963328-3974938	locus32
NC_053467.1:4193072-4204734	locus33
NC_053453.1:29713778-29749783	locus34
NC_053453.1:59574688-59587956	locus35
NC_053455.1:25531629-25543746	locus36
NC_053464.1:1802071-1812243	locus37
NC_053475.1:4367864-4383362	locus38
NC_053460.1:16517746-16521759	locus39
NC_053464.1:12737358-12749058	locus40
NC_053450.1:1289495-1300238	locus41
NC_053467.1:1823134-1831545	locus42
NC_053463.1:14325397-14341397	locus43
NC_053476.1:3170176-3180472	locus44
NC_053452.1:47791962-47804657	locus45
NC_053450.1:123775241-123784451	locus46
NC_053488.1:86608869-86698530	locus47
NC_053450.1:139780312-139793897	locus48
NC_053454.1:7136134-7148355	locus49
NC_053450.1:39476829-39495177	locus50
NC_053471.1:4059625-4072352	locus51
NC_053462.1:16638917-16654483	locus52
NC_053454.1:21593489-21627467	locus53
NC_053454.1:42630626-42652632	locus54
NC_053452.1:55646838-55668877	locus55
NC_053455.1:8307790-8319721	locus56
NC_053457.1:33574345-33590411	locus57
NC_053462.1:14376068-14399686	locus58
NC_053452.1:100086427-100128456	locus59
NC_053453.1:64969994-64983421	locus60
NC_053472.1:3867190-3878771	locus61
NC_053461.1:18804635-18814114	locus62
NC_053467.1:4989646-5006894	locus63
NC_053452.1:4801031-4813307	locus64
NC_053458.1:29367069-29377014	locus65
NC_053451.1:26107903-26118865	locus66
NC_053454.1:34832695-34847318	locus67
NC_053450.1:83810820-83824200	locus68
NC_053450.1:80184248-80233949	locus69
NC_053457.1:34075490-34089782	locus70
NC_053452.1:1078490-1089700	locus71
NC_053454.1:7090592-7113802	locus72
NC_053454.1:58519515-58537271	locus73
NC_053451.1:98939759-98966443	locus74
NC_053454.1:32965207-32982576	locus75
NC_053452.1:11260451-11290771	locus76
NC_053456.1:22435833-22453644	locus77
NC_053450.1:3559428-3585414	locus78
NC_053450.1:86407703-86419008	locus79
NC_053462.1:13407990-13422895	locus80
NC_053453.1:24340630-24370813	locus81
NC_053450.1:29340422-29351695	locus82
NC_053451.1:32518582-32545181	locus83
NC_053472.1:3632894-3644073	locus84
NC_053450.1:32204443-32217339	locus85
NC_053459.1:2348033-2355195	locus86
NC_053458.1:24397628-24407486	locus87
NC_053454.1:1832931-1839655	locus88
NC_053454.1:17367204-17396464	locus89
NC_053456.1:35361420-35376018	locus90
NC_053454.1:63942332-63955980	locus91
NC_053458.1:26728030-26739094	locus92
NC_053457.1:10819890-10834349	locus93
NC_053451.1:52631866-52643451	locus94
NC_053450.1:87733075-87748765	locus95
NC_053476.1:675630-687540	locus96
NC_053451.1:19127370-19137816	locus97
NC_053457.1:5311284-5326749	locus98
NC_053467.1:9637398-9646895	locus99
NC_053451.1:90494911-90514159	locus100
NC_053453.1:3541986-3556456	locus101
NC_053453.1:36007067-36034354	locus102
NC_053452.1:43810131-43823427	locus103
NC_053455.1:51828888-51849022	locus104
NC_053456.1:4402343-4417258	locus105
NC_053452.1:46205912-46226432	locus106
NC_053450.1:62636363-62648846	locus107
NC_053462.1:7354913-7379020	locus108
NC_053452.1:35234807-35249171	locus109
NC_053452.1:38618910-38642051	locus110
NC_053450.1:22116216-22142671	locus111
NC_053469.1:5840031-5853615	locus112
NC_053451.1:28316394-28329780	locus113
NC_053468.1:5541260-5552393	locus114
NC_053454.1:61329644-61344020	locus115
NC_053453.1:74815459-74829664	locus116
NC_053459.1:23480074-23495664	locus117
NC_053452.1:56061160-56079749	locus118
NC_053465.1:11641196-11652481	locus119
NC_053463.1:8821528-8831598	locus120
NC_053465.1:11486338-11499160	locus121
NC_053453.1:24801730-24827740	locus122
NC_053450.1:39252307-39266529	locus123
NC_053451.1:28968024-28985428	locus124
NC_053466.1:8512203-8525425	locus125
NC_053464.1:304669-320885	locus126
NC_053461.1:14234054-14245782	locus127
NC_053452.1:52537750-52567767	locus128
NC_053451.1:91583103-91599339	locus129
NC_053474.1:2347578-2363356	locus130
NC_053468.1:7728926-7738121	locus131
NC_053465.1:1568410-1579517	locus132
NC_053454.1:8335224-8349785	locus133
NC_053464.1:2258452-2272558	locus134
NC_053452.1:98142185-98190183	locus135
NC_053457.1:14588957-14600757	locus136
NC_053450.1:112780023-112796647	locus137
NC_053453.1:7498526-7529906	locus138
NC_053462.1:16220522-16238241	locus139
NC_053458.1:5287515-5304605	locus140
NC_053488.1:85782660-85809913	locus141
NC_053474.1:1091633-1111699	locus142
NC_053480.1:1519044-1576256	locus143
NC_053477.1:1887329-1895168	locus144
NC_053463.1:14361980-14372606	locus145
NC_053459.1:15385938-15400903	locus146
NC_053451.1:104824974-104841018	locus147
NC_053452.1:27501920-27518425	locus148
NC_053458.1:24471139-24481088	locus149
NC_053451.1:113232659-113254369	locus150
NC_053452.1:49276927-49294405	locus151
NC_053454.1:6288006-6303032	locus152
NC_053458.1:9481475-9493769	locus153
NC_053451.1:19122203-19132214	locus154
NC_053452.1:60187058-60206071	locus155
NC_053454.1:59794759-59805161	locus156
NC_053452.1:52072102-52085749	locus157
NC_053452.1:47562409-47595977	locus158
NC_053488.1:73618761-73659049	locus159
NC_053451.1:37558434-37573856	locus160
NC_053452.1:22774934-22794493	locus161
NC_053452.1:45825824-45840353	locus162
NC_053452.1:33576017-33590147	locus163
NC_053462.1:17718940-17730788	locus164
NC_053463.1:15351283-15365050	locus165
NC_053452.1:86536934-86554966	locus166
NC_053454.1:25748160-25772877	locus167
NC_053454.1:16369448-16388180	locus168
NC_053450.1:152973963-152986883	locus169
NC_053457.1:8306480-8320127	locus170
NC_053462.1:9374527-9394564	locus171
NC_053475.1:2553169-2564182	locus172
NC_053457.1:18716989-18728189	locus173
NC_053450.1:69400533-69429979	locus174
NC_053451.1:5398638-5411459	locus175
NC_053452.1:21651587-21664931	locus176
NC_053454.1:12486464-12513518	locus177
NC_053465.1:3166280-3186709	locus178
NC_053468.1:5371016-5434847	locus179
NC_053451.1:38387502-38397383	locus180
NC_053461.1:1480076-1491911	locus181
NC_053456.1:23437371-23456137	locus182
NC_053457.1:33884343-33891015	locus183
NC_053455.1:19230677-19258328	locus184
NC_053451.1:113436868-113449129	locus185
NC_053466.1:7599451-7611907	locus186
NC_053452.1:50114828-50128960	locus187
NC_053456.1:28151170-28164032	locus188
NC_053450.1:65489662-65509057	locus189
NC_053467.1:1652888-1659440	locus190
NC_053454.1:63166047-63182841	locus191
NC_053452.1:51784803-51795189	locus192
NC_053450.1:35067124-35083208	locus193
NC_053459.1:7736506-7753288	locus194
NC_053451.1:3277867-3288588	locus195
NC_053461.1:13181521-13196554	locus196
NC_053456.1:33562615-33580626	locus197
NC_053451.1:17370331-17382789	locus198
NC_053451.1:54208427-54246386	locus199
NC_053450.1:613609-624979	locus200
NC_053457.1:18773549-18781462	locus201
NC_053452.1:6270670-6286401	locus202
NC_053458.1:18671553-18686495	locus203
NC_053450.1:102762788-102778828	locus204
NC_053450.1:84835740-84876739	locus205
NC_053450.1:38331235-38350622	locus206
NC_053463.1:16174308-16196437	locus207
NC_053452.1:46506899-46529169	locus208
NC_053453.1:31030218-31058133	locus209
NC_053450.1:47811136-47818690	locus210
NC_053460.1:3991799-4002506	locus211
NC_053452.1:99282612-99343440	locus212
NC_053451.1:1798678-1807636	locus213
NC_053454.1:54414309-54423618	locus214
NC_053451.1:107917082-107934666	locus215
NC_053459.1:1105542-1128209	locus216
NC_053488.1:85387047-85417702	locus217
NC_053453.1:28975521-28998481	locus218
NC_053453.1:64276443-64284616	locus219
NC_053467.1:9972254-9985040	locus220
NC_053450.1:151914442-151922347	locus221
NC_053451.1:115476318-115486327	locus222
NC_053455.1:33608036-33631879	locus223
NC_053455.1:26435104-26460243	locus224
NC_053451.1:9864967-9900917	locus225
NC_053450.1:62002364-62022021	locus226
NC_053467.1:2120417-2130583	locus227
NC_053454.1:343046-355340	locus228
NC_053454.1:71945390-71953370	locus229
NC_053466.1:937661-946633	locus230
NC_053463.1:5104241-5114168	locus231
NC_053454.1:60086105-60091883	locus232
NC_053451.1:77125199-77138406	locus233
NC_053454.1:51709971-51725103	locus234
NC_053458.1:17510300-17531338	locus235
NC_053464.1:6978596-6996772	locus236
NC_053473.1:5475369-5495961	locus237
NC_053450.1:111453575-111465176	locus238
NC_053452.1:98487-117921	locus239
NC_053467.1:8104315-8117023	locus240
NC_053461.1:20080978-20092884	locus241
NC_053456.1:8021820-8034808	locus242
NC_053457.1:3850465-3869182	locus243
NC_053454.1:58360384-58381249	locus244
NC_053459.1:15798167-15812444	locus245
NC_053450.1:93423177-93446298	locus246
NC_053459.1:17363326-17375723	locus247
NC_053451.1:114180890-114188004	locus248
NC_053472.1:2430150-2439947	locus249
NC_053452.1:45831624-45843829	locus250
NC_053460.1:16576637-16583455	locus251
NC_053451.1:99178798-99192294	locus252
NC_053450.1:24633720-24658670	locus253
NC_053464.1:1208136-1220356	locus254
NC_053450.1:37436842-37462163	locus255
NC_053455.1:1158010-1167679	locus256
NC_053450.1:82174609-82205895	locus257
NC_053460.1:6260929-6274229	locus258
NC_053460.1:7224849-7235725	locus259
NC_053450.1:89343284-89353226	locus260
NC_053454.1:49471043-49484669	locus261
NC_053450.1:110448468-110460527	locus262
NC_053456.1:27859804-27874862	locus263
