NC_053463.1:2378415-2391189	locus1
NC_053459.1:20731080-20750250	locus2
NC_053488.1:83123041-83149342	locus3
NC_053455.1:20276075-20291432	locus4
NC_053458.1:8913745-8925123	locus5
NC_053453.1:75352637-75365984	locus6
NC_053454.1:26895597-26904008	locus7
NC_053469.1:6416333-6433094	locus8
NC_053451.1:44656954-44670622	locus9
NC_053470.1:850137-861943	locus10
NC_053451.1:48964705-48980257	locus11
NC_053468.1:9988446-10007170	locus12
NC_053451.1:103505444-103522275	locus13
NC_053456.1:11548391-11559561	locus14
NC_053451.1:4789588-4801713	locus15
NC_053471.1:4977023-4986488	locus16
NC_053469.1:3022946-3032686	locus17
NC_053452.1:100585610-100614349	locus18
NC_053488.1:12770361-12800226	locus19
NC_053454.1:47188002-47211795	locus20
NC_053458.1:14860105-14885472	locus21
NC_053468.1:9309731-9323966	locus22
NC_053464.1:13982241-14003055	locus23
NC_053455.1:4373522-4385697	locus24
NC_053450.1:121058910-121070332	locus25
NC_053462.1:3600179-3615484	locus26
NC_053450.1:32207083-32221305	locus27
NC_053450.1:56503986-56528629	locus28
NC_053453.1:31014672-31035819	locus29
NC_053472.1:6721835-6744693	locus30
NC_053452.1:1902665-1914050	locus31
NC_053454.1:5391121-5401284	locus32
NC_053452.1:87200987-87210128	locus33
NC_053464.1:16100589-16116691	locus34
NC_053461.1:19338744-19352084	locus35
NC_053463.1:2256868-2266497	locus36
NC_053464.1:14426059-14438319	locus37
NC_053451.1:4636513-4653217	locus38
NC_053451.1:17761155-17774484	locus39
NC_053461.1:10931626-10954484	locus40
NC_053464.1:14674605-14689925	locus41
NC_053468.1:4760431-4775144	locus42
NC_053451.1:69846047-69875224	locus43
NC_053456.1:7301202-7316838	locus44
NC_053454.1:50400461-50410591	locus45
NC_053451.1:53518105-53531855	locus46
NC_053459.1:16366448-16381510	locus47
NC_053455.1:15003703-15024315	locus48
NC_053460.1:14511911-14528118	locus49
NC_053462.1:16608255-16621412	locus50
NC_053453.1:18415587-18444122	locus51
NC_053457.1:18603164-18616814	locus52
NC_053450.1:83231752-83247716	locus53
NC_053451.1:90692050-90709767	locus54
NC_053453.1:9852136-9890706	locus55
NC_053450.1:11924908-11946480	locus56
NC_053450.1:69388581-69414818	locus57
NC_053452.1:11472235-11483503	locus58
NC_053455.1:33700923-33798689	locus59
NC_053451.1:5019926-5027185	locus60
NC_053459.1:8929339-8938551	locus61
NC_053452.1:48959446-48977270	locus62
NC_053454.1:26937515-26949323	locus63
NC_053467.1:4167306-4176190	locus64
NC_053454.1:8042131-8052561	locus65
NC_053453.1:49911215-49934981	locus66
NC_053458.1:16330482-16347182	locus67
NC_053473.1:2032732-2047225	locus68
NC_053454.1:638348-653557	locus69
NC_053454.1:37498272-37516971	locus70
NC_053450.1:75734506-75750478	locus71
NC_053468.1:10140376-10154905	locus72
NC_053456.1:36606016-36615079	locus73
NC_053451.1:20854497-20872856	locus74
NC_053450.1:53354005-53363970	locus75
NC_053469.1:4088168-4103378	locus76
NC_053453.1:55393327-55412515	locus77
NC_053461.1:1512644-1528668	locus78
NC_053461.1:4897675-4904587	locus79
NC_053457.1:8383350-8394711	locus80
NC_053460.1:8375297-8389753	locus81
NC_053476.1:4739151-4776968	locus82
NC_053454.1:8603238-8613631	locus83
NC_053451.1:52740474-52752884	locus84
NC_053454.1:45321399-45331001	locus85
NC_053454.1:37471353-37483968	locus86
NC_053450.1:65262408-65271969	locus87
NC_053453.1:49499026-49520809	locus88
NC_053458.1:1787999-1795455	locus89
NC_053459.1:8563835-8577289	locus90
NC_053468.1:9505541-9518817	locus91
NC_053475.1:3102111-3114564	locus92
NC_053450.1:2023794-2041589	locus93
NC_053454.1:5977998-5987665	locus94
NC_053463.1:16745412-16759862	locus95
NC_053464.1:8731718-8741729	locus96
NC_053453.1:62713506-62732433	locus97
NC_053451.1:118524536-118558767	locus98
NC_053451.1:92328567-92336028	locus99
NC_053453.1:576901-582929	locus100
NC_053451.1:20623113-20642395	locus101
NC_053451.1:47914902-47929505	locus102
NC_053461.1:8529540-8548012	locus103
NC_053450.1:10150387-10181754	locus104
NC_053458.1:6528771-6542257	locus105
NC_053450.1:153122396-153131458	locus106
NC_053454.1:10824561-10849058	locus107
NC_053455.1:6649852-6660731	locus108
NC_053452.1:24596238-24614792	locus109
NC_053454.1:54922005-54937306	locus110
NC_053470.1:992938-1004222	locus111
NC_053459.1:16675960-16686190	locus112
NC_053450.1:37496226-37522601	locus113
NC_053454.1:14413830-14426556	locus114
NC_053468.1:259239-276142	locus115
NC_053473.1:6521360-6551885	locus116
NC_053452.1:90254047-90282712	locus117
NC_053468.1:4124807-4139085	locus118
NC_053454.1:59275886-59295644	locus119
NC_053467.1:4389589-4401078	locus120
NC_053465.1:4885521-4893556	locus121
NC_053458.1:14524203-14539511	locus122
NC_053451.1:106342914-106361763	locus123
NC_053459.1:2156963-2178530	locus124
NC_053453.1:2341107-2392573	locus125
NC_053453.1:51570304-51603088	locus126
NC_053455.1:36228874-36299101	locus127
NC_053457.1:20186481-20206495	locus128
NC_053451.1:20883224-20899473	locus129
NC_053459.1:17455855-17475088	locus130
NC_053470.1:7462730-7473012	locus131
NC_053451.1:11184434-11222200	locus132
NC_053464.1:13237302-13245483	locus133
NC_053460.1:1008539-1024453	locus134
NC_053450.1:94064897-94084865	locus135
NC_053453.1:29281697-29300932	locus136
NC_053451.1:118850604-118863737	locus137
NC_053457.1:28532337-28551628	locus138
NC_053451.1:88274982-88286776	locus139
NC_053458.1:22214608-22232832	locus140
NC_053455.1:45873599-45883096	locus141
NC_053457.1:28210372-28228098	locus142
NC_053473.1:740157-752926	locus143
NC_053462.1:4995584-5007998	locus144
NC_053453.1:16785247-16842915	locus145
NC_053452.1:70059874-70076257	locus146
NC_053450.1:154120663-154132275	locus147
NC_053450.1:48461851-48475951	locus148
NC_053450.1:27692022-27726695	locus149
NC_053468.1:1528457-1543760	locus150
NC_053457.1:28924218-28944847	locus151
NC_053450.1:123525465-123544669	locus152
NC_053467.1:2720241-2735224	locus153
NC_053463.1:1667390-1680271	locus154
NC_053464.1:8707254-8718777	locus155
NC_053468.1:6028465-6037996	locus156
NC_053465.1:4845297-4852967	locus157
NC_053455.1:13907114-13953111	locus158
NC_053459.1:7562375-7573843	locus159
NC_053469.1:9337591-9347703	locus160
NC_053452.1:61256165-61269913	locus161
NC_053452.1:90268337-90313779	locus162
NC_053465.1:3848395-3857819	locus163
NC_053453.1:65488840-65499565	locus164
NC_053450.1:66906904-66916727	locus165
NC_053453.1:51025239-51061802	locus166
NC_053451.1:50583934-50613639	locus167
NC_053452.1:35930752-35950510	locus168
NC_053460.1:1769254-1779905	locus169
NC_053457.1:20864879-20877595	locus170
NC_053462.1:14651061-14661025	locus171
NC_053453.1:75306019-75316995	locus172
NC_053458.1:6084314-6099367	locus173
NC_053458.1:27104268-27115037	locus174
NC_053456.1:36522943-36540100	locus175
NC_053455.1:45180651-45192964	locus176
NC_053452.1:46499362-46521185	locus177
NC_053462.1:11410201-11423293	locus178
NC_053461.1:12421987-12435253	locus179
