NC_053451.1	chr1
NC_053453.1	chr1A
NC_053450.1	chr2
NC_053452.1	chr3
NC_053454.1	chr4
NC_053470.1	chr4A
NC_053455.1	chr5
NC_053457.1	chr6
NC_053456.1	chr7
NC_053458.1	chr8
NC_053459.1	chr9
NC_053462.1	chr10
NC_053460.1	chr11
NC_053461.1	chr12
NC_053463.1	chr13
NC_053464.1	chr14
NC_053466.1	chr15
NC_053469.1	chr17
NC_053467.1	chr18
NC_053468.1	chr19
NC_053465.1	chr20
NC_053471.1	chr21
NC_053477.1	chr22
NC_053474.1	chr23
NC_053472.1	chr24
NC_053478.1	chr25
NC_053473.1	chr26
NC_053476.1	chr27
NC_053475.1	chr28
NC_053479.1	chr29
NC_053480.1	chr31
NC_053481.1	chr32
NC_053482.1	chr33
NC_053483.1	chr34
NC_053484.1	chr35
NC_053485.1	chr36
NC_053486.1	chr37
