NC_053451.1	chr1
NW_024403813.1	chr1-un1
NC_053453.1	chr1A
NW_024403819.1	chr1A-un1
NC_053450.1	chr2
NW_024403809.1	chr2-un1
NW_024403810.1	chr2-un2
NW_024403811.1	chr2-un3
NW_024403812.1	chr2-un4
NC_053452.1	chr3
NW_024403814.1	chr3-un1
NW_024403815.1	chr3-un2
NW_024403816.1	chr3-un3
NW_024403817.1	chr3-un4
NW_024403818.1	chr3-un5
NC_053454.1	chr4
NW_024403820.1	chr4-un1
NW_024403821.1	chr4-un2
NW_024403822.1	chr4-un3
NW_024403823.1	chr4-un4
NC_053470.1	chr4A
NW_024403828.1	chr4A-un1
NC_053455.1	chr5
NW_024403824.1	chr5-un1
NC_053457.1	chr6
NC_053456.1	chr7
NC_053458.1	chr8
NC_053459.1	chr9
NC_053462.1	chr10
NW_024403826.1	chr10-un1
NC_053460.1	chr11
NW_024403825.1	chr11-un1
NC_053461.1	chr12
NC_053463.1	chr13
NC_053464.1	chr14
NW_024403827.1	chr14-un1
NC_053466.1	chr15
NC_053469.1	chr17
NC_053467.1	chr18
NC_053468.1	chr19
NC_053465.1	chr20
NC_053471.1	chr21
NW_024403829.1	chr21-un1
NC_053477.1	chr22
NC_053474.1	chr23
NC_053472.1	chr24
NC_053478.1	chr25
NW_024403832.1	chr25-un1
NW_024403833.1	chr25-un2
NC_053473.1	chr26
NC_053476.1	chr27
NW_024403830.1	chr27-un1
NW_024403831.1	chr27-un2
NC_053475.1	chr28
NC_053479.1	chr29
NW_024403834.1	chr29-un1
NC_053480.1	chr31
NC_053481.1	chr32
NC_053482.1	chr33
NW_024403835.1	chr33-un1
NC_053483.1	chr34
NC_053484.1	chr35
NC_053485.1	chr36
NC_053486.1	chr37
NC_053488.1	chrZ
NW_024403838.1	chrZ-un1
NC_053487.1	chrW
NW_024403836.1	chrW-un1
NW_024403837.1	chrW-un2
