NC_053450.1	chromosome 1
NC_053451.1	chromosome 2
NC_053452.1	chromosome 3
NC_053453.1	chromosome 4
NC_053454.1	chromosome 5
NC_053455.1	chromosome 6
NC_053456.1	chromosome 7
NC_053457.1	chromosome 8
NC_053458.1	chromosome 9
NC_053459.1	chromosome 10
NC_053460.1	chromosome 11
NC_053461.1	chromosome 12
NC_053462.1	chromosome 13
NC_053463.1	chromosome 14
NC_053464.1	chromosome 15
NC_053465.1	chromosome 16
NC_053466.1	chromosome 17
NC_053467.1	chromosome 18
NC_053468.1	chromosome 19
NC_053469.1	chromosome 20
NC_053470.1	chromosome 21
NC_053471.1	chromosome 22
NC_053472.1	chromosome 23
NC_053473.1	chromosome 24
NC_053474.1	chromosome 25
NC_053475.1	chromosome 26
NC_053476.1	chromosome 27
NC_053477.1	chromosome 28
NC_053478.1	chromosome 29
NC_053479.1	chromosome 30
NC_053480.1	chromosome 31
NC_053481.1	chromosome 32
NC_053482.1	chromosome 33
NC_053483.1	chromosome 34
NC_053484.1	chromosome 35
NC_053485.1	chromosome 36
NC_053486.1	chromosome 37
NC_053487.1	chromosome W
NC_053488.1	chromosome Z
NW_024403809.1	chromosome 1, unlocalized
NW_024403810.1	chromosome 1, unlocalized
NW_024403811.1	chromosome 1, unlocalized
NW_024403812.1	chromosome 1, unlocalized
NW_024403813.1	chromosome 2, unlocalized
NW_024403814.1	chromosome 3, unlocalized
NW_024403815.1	chromosome 3, unlocalized
NW_024403816.1	chromosome 3, unlocalized
NW_024403817.1	chromosome 3, unlocalized
NW_024403818.1	chromosome 3, unlocalized
NW_024403819.1	chromosome 4, unlocalized
NW_024403820.1	chromosome 5, unlocalized
NW_024403821.1	chromosome 5, unlocalized
NW_024403822.1	chromosome 5, unlocalized
NW_024403823.1	chromosome 5, unlocalized
NW_024403824.1	chromosome 6, unlocalized
NW_024403825.1	chromosome 11, unlocalized
NW_024403826.1	chromosome 13, unlocalized
NW_024403827.1	chromosome 15, unlocalized
NW_024403828.1	chromosome 21, unlocalized
NW_024403829.1	chromosome 22, unlocalized
NW_024403830.1	chromosome 27, unlocalized
NW_024403831.1	chromosome 27, unlocalized
NW_024403832.1	chromosome 29, unlocalized
NW_024403833.1	chromosome 29, unlocalized
NW_024403834.1	chromosome 30, unlocalized
NW_024403835.1	chromosome 33, unlocalized
NW_024403836.1	chromosome W, unlocalized
NW_024403837.1	chromosome W, unlocalized
NW_024403838.1	chromosome Z, unlocalized
